chest,head,back,pelvis,leftarm,leftleg,leftfoot,lefthand,leftshoulder,leftthigh,rightarm,rightleg,rightfoot,righthand,rightshoulder,rightthigh
2.60,1.81,0.70,1.14,0.49,1.22,0.38,0.24,0.30,1.21,0.91,1.69,0.58,0.49,1.54,1.50
2.62,1.82,0.71,1.15,0.50,1.23,0.38,0.25,0.30,1.22,0.92,1.71,0.59,0.50,1.56,1.52
2.64,1.83,0.71,1.16,0.50,1.24,0.38,0.25,0.30,1.23,0.93,1.73,0.60,0.50,1.57,1.54
2.66,1.84,0.72,1.17,0.50,1.25,0.39,0.25,0.30,1.24,0.94,1.75,0.60,0.51,1.59,1.55
2.68,1.85,0.73,1.18,0.51,1.26,0.39,0.25,0.30,1.25,0.95,1.77,0.61,0.51,1.60,1.57
2.70,1.86,0.73,1.19,0.51,1.27,0.39,0.25,0.31,1.26,0.96,1.78,0.62,0.52,1.62,1.59
2.72,1.87,0.74,1.20,0.52,1.28,0.40,0.26,0.31,1.27,0.97,1.80,0.63,0.52,1.63,1.60
2.74,1.88,0.74,1.21,0.52,1.30,0.40,0.26,0.31,1.28,0.98,1.82,0.63,0.53,1.64,1.62
2.76,1.89,0.75,1.22,0.52,1.31,0.41,0.26,0.31,1.30,1.00,1.84,0.64,0.53,1.66,1.64
2.78,1.90,0.75,1.23,0.53,1.32,0.41,0.26,0.31,1.31,1.01,1.86,0.65,0.54,1.67,1.65
2.80,1.91,0.76,1.24,0.53,1.33,0.41,0.27,0.32,1.32,1.02,1.88,0.65,0.55,1.69,1.67
2.82,1.92,0.76,1.25,0.54,1.34,0.42,0.27,0.32,1.33,1.03,1.90,0.66,0.55,1.70,1.69
2.84,1.93,0.77,1.26,0.54,1.35,0.42,0.27,0.32,1.34,1.04,1.92,0.67,0.56,1.72,1.70
2.86,1.94,0.78,1.27,0.54,1.36,0.42,0.27,0.32,1.35,1.05,1.94,0.67,0.56,1.73,1.72
2.88,1.95,0.78,1.28,0.55,1.37,0.43,0.27,0.32,1.36,1.06,1.96,0.68,0.57,1.75,1.74
2.90,1.96,0.79,1.29,0.55,1.38,0.43,0.28,0.33,1.37,1.07,1.97,0.69,0.57,1.76,1.75
2.92,1.97,0.79,1.31,0.55,1.39,0.43,0.28,0.33,1.38,1.08,1.99,0.70,0.58,1.77,1.77
2.94,1.98,0.80,1.32,0.56,1.40,0.44,0.28,0.33,1.39,1.09,2.01,0.70,0.58,1.79,1.79
2.96,1.99,0.80,1.33,0.56,1.41,0.44,0.28,0.33,1.41,1.10,2.03,0.71,0.59,1.80,1.80
2.98,2.00,0.81,1.34,0.57,1.42,0.45,0.28,0.33,1.42,1.11,2.05,0.72,0.60,1.82,1.82
3.00,2.01,0.81,1.35,0.57,1.43,0.45,0.29,0.34,1.43,1.12,2.07,0.72,0.60,1.83,1.84
3.02,2.02,0.82,1.36,0.57,1.44,0.45,0.29,0.34,1.44,1.13,2.09,0.73,0.61,1.85,1.85
3.04,2.03,0.82,1.37,0.58,1.45,0.46,0.29,0.34,1.45,1.14,2.11,0.74,0.61,1.86,1.87
3.06,2.04,0.83,1.38,0.58,1.46,0.46,0.29,0.34,1.46,1.15,2.13,0.75,0.62,1.88,1.89
3.08,2.05,0.84,1.39,0.59,1.47,0.46,0.29,0.35,1.47,1.16,2.15,0.75,0.62,1.89,1.90
3.10,2.06,0.84,1.40,0.59,1.48,0.47,0.30,0.35,1.48,1.17,2.16,0.76,0.63,1.90,1.92
3.12,2.07,0.85,1.41,0.59,1.49,0.47,0.30,0.35,1.49,1.18,2.18,0.77,0.63,1.92,1.94
3.14,2.08,0.85,1.42,0.60,1.51,0.47,0.30,0.35,1.51,1.19,2.20,0.77,0.64,1.93,1.95
3.16,2.09,0.86,1.43,0.60,1.52,0.48,0.30,0.35,1.52,1.20,2.22,0.78,0.65,1.95,1.97
3.18,2.10,0.86,1.44,0.61,1.53,0.48,0.30,0.36,1.53,1.21,2.24,0.79,0.65,1.96,1.99
3.20,2.11,0.87,1.45,0.61,1.54,0.49,0.31,0.36,1.54,1.22,2.26,0.80,0.66,1.98,2.00
3.22,2.13,0.87,1.46,0.61,1.55,0.49,0.31,0.36,1.55,1.23,2.28,0.80,0.66,1.99,2.02
3.24,2.14,0.88,1.47,0.62,1.56,0.49,0.31,0.36,1.56,1.24,2.30,0.81,0.67,2.01,2.04
3.24,2.14,0.89,1.48,0.62,1.56,0.50,0.31,0.36,1.57,1.24,2.31,0.82,0.67,2.01,2.05
3.24,2.15,0.89,1.48,0.62,1.57,0.50,0.31,0.36,1.58,1.25,2.32,0.82,0.68,2.02,2.06
3.24,2.15,0.90,1.49,0.62,1.58,0.50,0.31,0.36,1.58,1.26,2.34,0.83,0.68,2.03,2.07
3.24,2.16,0.91,1.50,0.62,1.58,0.50,0.31,0.36,1.59,1.26,2.35,0.84,0.68,2.04,2.09
3.25,2.16,0.91,1.51,0.63,1.59,0.51,0.32,0.36,1.60,1.27,2.36,0.84,0.69,2.05,2.10
3.25,2.17,0.92,1.52,0.63,1.59,0.51,0.32,0.36,1.61,1.28,2.38,0.85,0.69,2.06,2.11
